age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
20,Private,210781,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,35,US,0
39,Non-Private,122353,13,Married,Managerial-Specialist,Husband,White,Male,7688,0,50,US,1
23,Private,388811,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
47,Private,335973,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
33,Non-Private,198183,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,1
38,Private,210866,9,Married,Managerial-Specialist,Husband,White,Male,0,0,44,US,1
35,Private,306156,9,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,0
25,Private,238605,9,Non-Married,Other,Non-Husband,White,Female,0,0,25,US,0
43,Non-Private,47261,10,Married,Other,Husband,White,Male,0,0,50,US,0
35,Private,153790,10,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
42,Non-Private,34722,9,Married,Other,Husband,White,Male,0,0,60,US,0
31,Private,178841,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
58,Private,183893,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
38,Non-Private,187046,9,Married,Other,Husband,White,Male,0,0,40,US,1
45,Private,96100,4,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,0
38,Private,195744,13,Non-Married,Other,Non-Husband,White,Male,0,0,48,US,0
35,Private,187625,10,Non-Married,Other,Non-Husband,White,Female,0,0,65,US,0
61,Non-Private,111563,13,Married,Other,Husband,White,Male,0,0,20,US,1
55,Private,118993,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,10,US,0
58,Non-Private,215900,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,40,US,0
28,Private,222442,9,Married,Other,Husband,White,Male,0,0,51,Non-US,0
37,Private,194004,7,Married,Other,Husband,White,Male,0,0,25,US,0
32,Private,311764,6,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,35,US,0
33,Private,80058,9,Non-Married,Other,Non-Husband,White,Male,0,0,48,US,0
32,Private,97281,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
37,Non-Private,117683,9,Married,Other,Husband,White,Male,0,0,40,US,0
46,Non-Private,102076,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,25,US,0
47,Private,135803,9,Married,Other,Husband,Non-White,Male,0,0,25,Non-US,0
31,Non-Private,113530,9,Non-Married,Other,Non-Husband,White,Male,0,0,45,US,0
36,Private,224566,12,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,1669,45,US,0
41,Private,215219,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
33,Private,156464,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
32,Non-Private,235109,13,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
53,Private,218311,9,Non-Married,Other,Non-Husband,White,Female,0,0,35,US,0
34,Private,169583,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,1
27,Private,347513,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
18,Private,338836,9,Non-Married,Other,Non-Husband,White,Male,0,0,20,US,0
49,Non-Private,94754,14,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
21,Non-Private,38251,10,Non-Married,Other,Non-Husband,White,Female,0,0,20,US,0
34,Private,96480,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
40,Private,520586,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,39,US,0
20,Non-Private,211466,9,Non-Married,Other,Non-Husband,White,Male,0,0,80,US,0
27,Private,37088,12,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
38,Non-Private,129573,14,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,1
20,Private,376416,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
20,Non-Private,147352,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
40,Non-Private,167081,14,Married,Other,Husband,White,Male,3103,0,50,US,0
20,Private,238685,10,Non-Married,Other,Non-Husband,White,Female,0,0,30,US,0
35,Private,187089,11,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,42,US,1
32,Private,186824,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
39,Non-Private,128715,9,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
33,Private,119422,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
21,Private,207923,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,15,US,0
51,Private,237295,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
26,Private,252406,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
42,Private,185413,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
23,Private,222925,9,Married,Managerial-Specialist,Non-Husband,White,Female,2105,0,40,US,0
51,Non-Private,341548,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
36,Private,168747,13,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
38,Private,186191,9,Married,Other,Husband,White,Male,0,0,55,US,0
58,Private,35520,10,Married,Other,Husband,White,Male,7688,0,40,US,1
32,Private,160594,13,Non-Married,Other,Non-Husband,White,Male,0,1564,50,US,1
34,Non-Private,303129,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
70,Private,220589,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,12,US,0
57,Non-Private,283635,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
47,Non-Private,101926,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,70,US,1
27,Private,114158,11,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,35,US,0
36,Non-Private,367020,4,Married,Other,Husband,White,Male,0,0,35,US,0
40,Private,229148,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
41,Private,37997,8,Non-Married,Other,Non-Husband,White,Male,0,0,84,US,1
30,Non-Private,194740,13,Married,Other,Husband,White,Male,0,0,40,US,0
42,Private,44402,13,Married,Other,Husband,White,Male,0,0,60,US,0
44,Non-Private,166597,14,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
27,Private,107812,13,Married,Other,Non-Husband,White,Male,0,0,40,US,1
32,Private,171889,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,68,US,0
36,Private,174938,13,Married,Managerial-Specialist,Husband,White,Male,0,1887,50,US,1
51,Private,114758,7,Married,Managerial-Specialist,Husband,White,Male,0,0,48,US,1
38,Private,331395,13,Married,Other,Husband,White,Male,0,0,38,US,0
23,Non-Private,482096,12,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,20,US,0
27,Private,147839,10,Non-Married,Other,Non-Husband,White,Male,0,0,38,US,0
41,Non-Private,132125,9,Married,Other,Husband,White,Male,0,0,40,US,0
27,Private,347153,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
27,Private,114865,9,Non-Married,Other,Non-Husband,White,Male,0,0,45,US,0
43,Non-Private,225165,7,Married,Other,Husband,White,Male,0,0,55,US,0
67,Non-Private,81413,9,Married,Other,Husband,White,Male,0,0,40,US,0
28,Non-Private,34452,15,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
41,Private,304175,13,Married,Managerial-Specialist,Husband,White,Male,0,0,55,US,1
22,Private,374116,9,Non-Married,Other,Non-Husband,White,Female,0,0,36,US,0
46,Private,249935,16,Married,Managerial-Specialist,Husband,White,Male,0,0,70,US,0
54,Private,141663,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
28,Private,258231,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
44,Private,146659,14,Married,Managerial-Specialist,Husband,White,Male,0,1887,35,US,1
29,Private,568490,9,Married,Other,Husband,White,Male,0,0,40,US,0
45,Private,385793,3,Married,Other,Husband,Non-White,Male,0,0,40,Non-US,0
45,Private,256367,8,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
60,Non-Private,204062,14,Married,Managerial-Specialist,Husband,White,Male,0,0,48,US,1
30,Private,207172,7,Non-Married,Other,Non-Husband,White,Female,0,0,35,US,0
49,Private,165937,9,Married,Other,Husband,White,Male,0,0,40,US,0
23,Non-Private,1117718,10,Non-Married,Other,Non-Husband,Non-White,Male,0,0,30,US,0
25,Private,267431,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,55,US,0
43,Private,115178,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,43,US,1
21,Private,231931,10,Non-Married,Other,Non-Husband,White,Male,0,0,45,US,0
70,Private,405362,4,Non-Married,Other,Non-Husband,Non-White,Female,0,0,38,US,0
27,Non-Private,186733,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,50,US,0
24,Private,138719,7,Non-Married,Other,Non-Husband,Non-White,Female,0,0,20,US,0
33,Non-Private,365908,9,Married,Other,Husband,Non-White,Male,2105,0,40,US,0
52,Private,101752,11,Married,Other,Husband,White,Male,0,0,56,US,0
60,Private,166330,9,Married,Other,Non-Husband,White,Female,99999,0,40,US,1
49,Private,121253,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,1564,40,US,1
42,Private,211450,14,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,45,US,1
55,Private,117299,9,Married,Other,Husband,White,Male,7688,0,40,US,1
47,Private,126441,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
35,Private,61518,9,Married,Managerial-Specialist,Husband,White,Male,0,0,35,US,0
21,Private,214387,10,Non-Married,Other,Non-Husband,White,Male,0,0,64,US,0
46,Private,328216,9,Married,Other,Husband,White,Male,0,0,40,US,1
42,Non-Private,1125613,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
36,Private,305379,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,50,US,1
20,Private,190423,10,Non-Married,Other,Non-Husband,White,Female,0,0,20,US,0
24,Private,201680,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
62,Non-Private,202056,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,14084,0,40,US,1
64,Private,180401,6,Married,Other,Husband,White,Male,0,0,40,US,1
21,Private,119156,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,20,US,0
28,Private,181291,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,1564,50,US,1
21,Private,464484,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
28,Private,249541,10,Married,Other,Husband,White,Male,0,0,40,US,0
54,Non-Private,52565,4,Married,Other,Husband,White,Male,0,0,70,US,0
42,Non-Private,207392,9,Married,Other,Husband,White,Male,0,0,12,US,0
60,Non-Private,160079,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,25,US,0
58,Non-Private,130714,14,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,0
46,Private,122026,9,Married,Other,Husband,White,Male,0,0,50,US,0
27,Private,179565,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,37,US,0
53,Private,158352,3,Married,Other,Non-Husband,White,Female,0,0,24,Non-US,0
66,Private,197414,4,Non-Married,Other,Non-Husband,White,Female,0,0,20,US,0
61,Non-Private,48846,16,Married,Managerial-Specialist,Husband,White,Male,0,0,55,US,1
49,Non-Private,43479,10,Married,Other,Husband,White,Male,0,0,40,US,0
19,Private,316868,10,Non-Married,Other,Non-Husband,White,Male,0,0,30,Non-US,0
33,Private,218407,13,Married,Other,Husband,White,Male,0,0,80,Non-US,1
27,Private,47907,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,48,US,0
62,Non-Private,162678,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
27,Non-Private,332249,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
27,Private,161087,9,Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
44,Private,259674,14,Married,Managerial-Specialist,Husband,Non-White,Male,5178,0,60,US,1
28,Non-Private,366533,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
57,Private,201112,12,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
56,Non-Private,51662,7,Married,Other,Non-Husband,White,Female,0,0,40,US,0
44,Private,151780,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
72,Private,99554,4,Married,Other,Non-Husband,White,Female,0,0,10,Non-US,0
40,Non-Private,183765,12,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,1
48,Private,35406,11,Non-Married,Other,Non-Husband,White,Female,0,0,30,US,0
52,Non-Private,183146,8,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,1
70,Non-Private,143833,10,Married,Managerial-Specialist,Husband,White,Male,0,2246,40,US,1
61,Private,183355,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
54,Non-Private,256923,10,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,1
38,Private,203836,9,Married,Other,Husband,White,Male,3464,0,40,Non-US,0
68,Private,121846,4,Non-Married,Other,Non-Husband,Non-White,Female,0,0,20,US,0
24,Private,112706,11,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
34,Private,152493,9,Non-Married,Other,Non-Husband,White,Male,0,0,60,US,0
29,Private,24562,13,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
17,Private,169658,6,Non-Married,Other,Non-Husband,White,Female,0,0,21,US,0
28,Private,228346,13,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,0
27,Private,221977,2,Non-Married,Other,Non-Husband,White,Female,0,0,40,Non-US,0
47,Private,299508,9,Non-Married,Other,Non-Husband,Non-White,Female,0,0,55,US,0
51,Private,41414,5,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
35,Private,111635,9,Married,Other,Husband,White,Male,0,0,40,US,0
33,Private,164190,11,Married,Other,Husband,White,Male,7298,0,40,US,1
79,Private,121318,10,Married,Managerial-Specialist,Husband,White,Male,0,0,20,US,0
26,Private,196899,12,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
59,Private,304779,4,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
58,Private,268295,3,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,0
58,Non-Private,299680,14,Married,Managerial-Specialist,Husband,White,Male,15024,0,43,US,1
42,Non-Private,213019,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,1
44,Private,96321,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
44,Private,283174,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
32,Non-Private,87310,9,Married,Other,Husband,White,Male,0,0,41,US,0
35,Private,80680,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,45,US,1
33,Private,339482,9,Married,Other,Husband,White,Male,0,0,40,US,0
25,Private,407714,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
61,Private,227468,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
46,Private,185291,7,Married,Other,Husband,White,Male,0,0,45,US,1
36,Private,188571,9,Married,Other,Husband,White,Male,0,0,40,US,0
49,Non-Private,216734,15,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
46,Private,251786,2,Non-Married,Other,Non-Husband,White,Female,0,0,40,Non-US,0
28,Private,191027,12,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
34,Private,97355,10,Non-Married,Other,Non-Husband,White,Female,0,0,60,US,0
52,Private,153751,5,Non-Married,Other,Non-Husband,Non-White,Female,0,0,30,US,0
32,Private,241731,10,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
31,Private,302679,8,Married,Managerial-Specialist,Husband,White,Male,0,0,55,US,0
52,Private,48343,11,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
33,Private,279173,9,Married,Managerial-Specialist,Husband,White,Male,0,0,60,US,0
90,Private,51744,9,Non-Married,Other,Non-Husband,Non-White,Male,0,2206,40,US,0
31,Private,356823,13,Non-Married,Other,Non-Husband,White,Female,10520,0,40,US,1
26,Private,58350,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,0
51,Private,153486,9,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
46,Non-Private,292569,13,Married,Other,Husband,White,Male,7298,0,65,US,1
34,Non-Private,189944,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,72,US,0
36,Private,301614,10,Non-Married,Other,Non-Husband,White,Male,0,0,45,Non-US,0
26,Private,125680,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,16,Non-US,0
19,Private,427862,10,Non-Married,Other,Non-Husband,White,Male,0,0,35,US,0
17,Private,350538,6,Non-Married,Other,Non-Husband,White,Male,0,0,25,US,0
39,Non-Private,432555,9,Married,Managerial-Specialist,Husband,Non-White,Male,0,1628,40,US,0
40,Non-Private,195520,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,49,US,0
21,Private,349365,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,15,US,0
24,Private,218678,10,Non-Married,Other,Non-Husband,White,Male,0,0,49,US,0
29,Private,183523,14,Married,Managerial-Specialist,Husband,White,Male,0,1977,40,US,1
38,Private,326886,11,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
50,Private,339954,9,Married,Other,Husband,White,Male,0,0,40,US,1
21,Private,83033,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,2176,0,20,US,0
26,Private,245880,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
21,Private,300812,10,Non-Married,Other,Non-Husband,White,Male,0,0,25,US,0
25,Private,209230,9,Non-Married,Other,Non-Husband,White,Female,0,0,6,US,0
41,Private,106900,13,Married,Other,Husband,White,Male,0,0,38,US,0
26,Private,224426,14,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,38,US,0
24,Non-Private,273905,12,Married,Other,Husband,White,Male,0,0,50,US,0
31,Private,207100,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
57,Private,175942,10,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,1
26,Private,287797,10,Married,Other,Husband,White,Male,0,0,45,US,0
50,Non-Private,30008,13,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
34,Private,205152,9,Married,Other,Husband,White,Male,0,0,40,US,0
74,Private,322789,6,Married,Other,Husband,White,Male,0,1411,40,US,0
24,Private,138152,5,Non-Married,Other,Non-Husband,Non-White,Male,0,0,58,Non-US,0
58,Private,314092,11,Married,Other,Husband,White,Male,0,1887,48,US,1
27,Private,204984,10,Married,Managerial-Specialist,Husband,White,Male,0,1579,40,US,0
73,Non-Private,74040,4,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
41,Non-Private,204235,15,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,1
37,Private,271013,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
57,Private,158077,13,Married,Other,Non-Husband,White,Female,0,0,40,US,0
22,Private,315524,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,30,Non-US,0
48,Private,105808,5,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,1
55,Private,201232,14,Married,Managerial-Specialist,Husband,White,Male,0,0,55,US,1
24,Private,132247,9,Married,Other,Non-Husband,White,Female,0,0,24,US,0
53,Private,337195,12,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
63,Non-Private,152163,9,Married,Other,Husband,White,Male,0,0,40,US,0
64,Private,270333,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
49,Non-Private,225456,13,Married,Other,Husband,White,Male,0,0,60,US,1
32,Non-Private,377836,11,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
28,Private,195573,9,Married,Other,Husband,White,Male,0,0,50,US,0
47,Non-Private,137917,10,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,1
33,Private,397995,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
29,Non-Private,160786,6,Married,Other,Husband,White,Male,0,0,35,US,1
50,Non-Private,283676,16,Married,Managerial-Specialist,Husband,White,Male,15024,0,60,US,1
28,Private,33895,13,Non-Married,Other,Non-Husband,White,Male,0,0,45,US,0
45,Private,116360,9,Non-Married,Other,Non-Husband,Non-White,Female,0,0,35,US,0
49,Private,34545,10,Married,Managerial-Specialist,Husband,White,Male,0,1887,40,US,1
35,Private,186035,11,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
23,Private,199070,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,16,US,0
17,Private,342752,7,Non-Married,Other,Non-Husband,White,Male,0,0,15,US,0
50,Private,240496,10,Non-Married,Other,Non-Husband,White,Female,0,0,36,US,0
24,Non-Private,335439,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,38,US,0
23,Private,239375,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
24,Private,86745,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,16,US,0
32,Private,31740,14,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,Non-US,0
37,Non-Private,97986,12,Married,Other,Husband,White,Male,0,0,68,US,0
63,Private,188914,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,Non-US,0
28,Private,369114,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
40,Private,201495,7,Non-Married,Other,Non-Husband,White,Male,0,0,35,US,0
54,Non-Private,310774,13,Married,Other,Husband,White,Male,0,0,40,US,0
28,Private,176683,11,Married,Other,Husband,White,Male,0,0,70,US,1
44,Private,184527,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,4934,0,45,US,1
33,Private,158416,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
31,Private,137991,10,Married,Other,Non-Husband,White,Female,0,0,20,US,0
51,Non-Private,72436,9,Married,Managerial-Specialist,Husband,White,Male,0,0,57,US,1
21,Private,170273,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
38,Non-Private,176657,10,Non-Married,Other,Non-Husband,Non-White,Male,0,0,60,Non-US,0
63,Private,45912,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
90,Non-Private,214594,4,Married,Other,Husband,White,Male,2653,0,40,US,0
43,Private,427382,14,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,50,US,1
32,Non-Private,190290,9,Married,Other,Husband,White,Male,0,0,40,Non-US,0
47,Private,145269,7,Non-Married,Other,Non-Husband,White,Female,0,0,45,US,0
31,Private,329301,9,Non-Married,Other,Non-Husband,White,Male,0,0,55,US,0
47,Private,138342,7,Married,Other,Husband,White,Male,0,0,40,US,0
35,Private,182074,9,Non-Married,Other,Non-Husband,White,Male,0,0,35,US,0
23,Non-Private,502316,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
48,Private,186539,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
39,Private,90646,11,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
49,Private,402462,13,Non-Married,Other,Non-Husband,White,Male,0,0,30,Non-US,0
32,Private,308365,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,38,US,0
51,Private,143741,10,Married,Other,Non-Husband,White,Female,0,0,40,US,1
19,Private,81961,10,Non-Married,Other,Non-Husband,White,Female,0,0,20,US,0
46,Private,160474,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,1590,43,US,0
18,Private,106943,7,Non-Married,Other,Non-Husband,White,Female,0,0,12,US,0
42,Private,184823,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
45,Non-Private,368947,13,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
27,Non-Private,280618,14,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
51,Private,221532,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,1
58,Private,33350,9,Non-Married,Other,Non-Husband,White,Female,0,0,35,US,0
22,Private,203182,10,Non-Married,Other,Non-Husband,White,Female,0,0,43,US,0
41,Private,194636,11,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
41,Private,173307,9,Married,Other,Husband,White,Male,0,0,40,US,1
47,Non-Private,150211,16,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
28,Private,213236,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,Non-US,0
47,Non-Private,29023,16,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,Non-US,1
64,Non-Private,186376,13,Married,Managerial-Specialist,Husband,White,Male,5178,0,40,US,1
17,Private,327434,6,Non-Married,Other,Non-Husband,White,Male,0,0,20,US,0
40,Private,141583,6,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
31,Private,181091,13,Married,Other,Husband,White,Male,0,0,40,US,1
27,Non-Private,289039,10,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
40,Non-Private,189189,13,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,20,US,0
51,Private,43354,10,Non-Married,Other,Non-Husband,White,Male,0,0,42,US,1
33,Private,309350,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
49,Private,197418,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,20,US,0
19,Non-Private,165289,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
57,Private,225927,6,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
39,Private,160728,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,2977,0,40,US,0
24,Private,241582,10,Non-Married,Other,Non-Husband,White,Male,0,0,33,US,0
27,Non-Private,115705,10,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
52,Non-Private,135716,9,Married,Other,Husband,White,Male,0,0,70,US,0
34,Non-Private,166545,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
22,Private,131291,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,15,US,0
26,Private,131401,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
44,Non-Private,111483,14,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
55,Private,151474,13,Non-Married,Other,Non-Husband,White,Female,0,1590,38,US,0
77,Non-Private,161552,1,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,60,US,0
45,Non-Private,125933,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
40,Private,445382,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
61,Private,359367,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
48,Private,213140,12,Married,Other,Husband,White,Male,0,0,60,US,1
33,Private,155343,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
34,Private,104293,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
20,Private,111697,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,1719,28,US,0
41,Private,70447,10,Married,Other,Husband,Non-White,Male,0,0,60,US,0
